Table B1 
CSP-I Host Galaxy Photometry


$\mathrm{SN}\ \mathrm{Name}$	$\mathrm{Host}\ \mathrm{Galaxy}\ \mathrm{Name}$	Morphology	u	g	r	i	Y	J	H	
2004ef	UGC 12158	SA	17.44(08)	14.07(04)	13.40(06)	13.12(03)	12.39(12)	11.77(12)	11.12(09)	
2004eo	NGC 6928	SB	14.64(08)	12.68(05)	11.83(08)	11.09(13)	cdots	9.81(02)	9.07(03)	
2004ey	UGC 11816	SB	18.02(08)	13.90(06)	13.44(11)	13.18(11)	12.08(05)	12.23(06)	11.54(08)	
2004gs	MCG +03-22-020	S	16.65(08)	14.65(06)	13.72(11)	13.32(11)	12.46(10)	12.05(09)	11.33(09)	
2004gu	FGC 175A	cdots	19.24(09)	17.23(08)	16.48(08)	16.01(08)	14.53(09)	14.07(10)	13.16(12)	
2005A	NGC 958	SB	14.29(09)	12.49(11)	11.85(09)	11.41(12)	10.49(12)	9.91(14)	9.03(16)	
2005ag	2MASS J14564320+0919366	cdots	cdots	16.26(08)	15.49(07)	15.06(08)	14.14(07)	13.57(12)	12.97(10)	
2005al	NGC 5304	cD	15.17(10)	13.22(07)	12.37(06)	11.99(07)	10.93(16)	10.14(14)	9.94(12)	
2005am	NGC 2811	SB	13.55(09)	11.70(09)	10.93(09)	10.50(09)	9.32(09)	8.90(08)	8.38(08)	
2005be	2MASS J14593308+1640068	cdots	17.67(07)	15.45(11)	14.51(11)	14.16(06)	cdots	12.76(04)	12.01(05)	
2005bg	MCG +03-31-93	cdots	15.89(14)	14.79(12)	14.24(14)	14.02(13)	cdots	12.96(04)	12.33(06)	
2005bl	NGC 4059	E	15.55(14)	13.48(11)	12.68(09)	12.20(06)	cdots	10.73(02)	10.01(02)	
2005bo	NGC 4708	SA	16.03(07)	13.79(10)	13.10(10)	12.40(04)	cdots	11.16(03)	10.52(04)	
2005el	NGC 1819	S0	15.38(10)	13.37(06)	12.17(09)	11.79(07)	10.89(09)	10.44(10)	9.78(10)	
2005eq	MCG -01-09-006	SB	17.00(09)	14.18(03)	13.53(08)	13.16(10)	12.75(14)	12.36(15)	11.75(16)	
2005hc	MCG +00-06-003	cdots	18.50(11)	15.66(08)	14.91(10)	14.54(10)	13.59(13)	13.21(20)	12.55(12)	
2005hj	APMUKS(BJ) B012415.21-012950.3	cdots	20.05(12)	18.99(02)	18.26(01)	17.88(02)	16.81(10)	16.24(11)	15.43(28)	
2005iq	MCG -03-01-008	SA	17.76(09)	15.01(08)	14.29(09)	13.94(08)	13.08(12)	12.60(18)	12.07(19)	
2005ir	SDSS J011643.87+004736.9	cdots	18.58(04)	17.40(08)	16.87(07)	16.49(06)	cdots	15.77(14)	15.01(19)	
2005kc	NGC 7311	SA	14.25(15)	12.50(05)	11.76(07)	11.33(07)	10.40(09)	9.22(07)	8.67(09)	
2005ke	NGC 1371	SA	14.85(13)	11.74(05)	10.84(09)	10.43(03)	cdots	8.75(02)	8.08(02)	
2005ki	NGC 3332	SA	15.33(07)	13.37(07)	12.53(02)	12.11(01)	11.15(11)	10.61(17)	10.07(10)	
2005ku	2MASX J22594265-0000478	cdots	17.76(14)	16.41(09)	15.87(06)	15.66(09)	14.72(11)	14.31(10)	13.82(11)	
2005lu	ESO 545-G038	S0	16.26(14)	15.49(04)	14.55(29)	14.28(07)	cdots	13.19(04)	12.44(06)	
2005M	NGC 2930	S0	15.20(20)	14.32(08)	14.02(14)	13.98(12)	13.45(14)	14.45(15)	12.37(12)	
2005mc	UGC 4414	SB	16.84(37)	14.70(05)	13.47(09)	12.86(10)	cdots	11.55(02)	10.80(03)	
2005na	UGC 3634	SB	16.14(07)	13.87(04)	12.93(04)	12.53(06)	11.71(12)	11.23(15)	10.47(14)	
2005W	NGC 691	SA	15.64(11)	12.93(09)	12.05(13)	11.76(11)	cdots	9.68(02)	8.99(02)	
2006ax	NGC 3663	SA	15.47(12)	14.06(04)	13.09(04)	12.14(04)	12.14(12)	11.38(12)	10.79(12)	
2006bd	UGC 6609	E	17.52(32)	14.17(07)	13.34(05)	12.90(05)	11.71(12)	11.65(13)	10.98(17)	
2006bh	NGC 7329	SB	15.56(16)	12.32(04)	11.68(06)	11.31(04)	10.88(07)	10.37(12)	9.86(07)	
2006br	NGC 5185	S	16.04(05)	13.66(07)	12.99(05)	12.27(05)	11.59(09)	11.15(07)	10.45(12)	
2006D	MCG -01-33-34	SB	15.64(10)	13.67(06)	13.08(05)	12.80(06)	12.09(08)	11.67(12)	10.98(11)	
2006ef	NGC 809	S0	16.21(12)	13.96(06)	13.17(07)	12.77(06)	cdots	11.41(02)	10.72(02)	
2006ej	NGC 191A	S0	16.55(22)	14.26(08)	13.42(06)	12.95(06)	11.92(09)	11.38(06)	10.72(08)	
2006eq	2MASX J21283758+0113490	cdots	18.82(05)	17.33(07)	16.52(07)	16.07(07)	14.54(09)	14.23(09)	13.67(09)	
2006et	NGC 232	SB	17.21(18)	14.05(06)	13.18(09)	12.73(07)	11.52(09)	11.19(06)	10.41(07)	
2006ev	UGC 11758	S0	17.17(13)	14.35(02)	13.53(02)	13.10(03)	11.92(08)	11.37(06)	10.71(09)	
2006fw	SDSS J014710.33-000848.7		19.85(23)	18.88(07)	18.28(08)	17.84(08)	cdots	16.68(12)	16.04(15)	
2006gj	UGC 2650	SA	17.27(22)	14.98(04)	14.13(03)	13.69(04)	12.48(17)	12.03(13)	11.34(17)	
2006gt	2MASX J00561810-0137327	cdots	19.72(28)	17.10(08)	16.26(06)	15.89(05)	15.21(13)	14.80(08)	14.14(14)	
2006hb	MCG -04-12-34	E	16.47(08)	14.06(06)	13.08(03)	12.70(03)	11.94(08)	11.84(07)	11.47(08)	
2006hx	2MASX J01135716+0022171	S0	18.49(09)	16.45(04)	15.70(04)	15.32(05)	14.17(07)	13.55(07)	12.91(09)	
2006is	APMUKS(BJ) B051529.79-235009.8	cdots	cdots	19.25(14)	19.02(06)	18.98(07)	18.74(04)	19.73(05)	cdots	
2006kf	UGC 2829	S0	16.57(08)	13.74(06)	12.93(04)	12.55(05)	11.38(09)	10.90(09)	10.33(11)	
2006lu	2MASX J09151727-2536001	cdots	18.30(06)	16.29(05)	15.72(05)	15.39(05)	14.48(14)	14.04(07)	13.36(13)	
2006mr	NGC 1316	S0	11.77(12)	9.84(05)	9.17(04)	8.66(03)	8.00(04)	6.80(05)	6.22(04)	
2006ob	UGC 1333	SA	17.11(04)	15.18(07)	14.29(07)	13.86(07)	12.59(12)	11.93(11)	11.57(22)	
2006os	UGC 2384	S	17.04(33)	14.43(04)	13.60(04)	13.24(04)	12.20(08)	11.66(09)	11.25(09)	
2006py	SDSS J224142.04-000812.9	cdots	20.06(08)	18.23(07)	17.47(05)	17.05(04)	cdots	16.16(10)	15.50(12)	
2006X	NGC 4321	SB	12.00(05)	11.00(05)	10.00(05)	9.90(05)	10.60(37)	9.76(12)	9.10(14)	
2007af	NGC 5584	SB	14.92(03)	13.77(07)	13.11(07)	12.72(07)	11.74(10)	11.59(12)	11.07(10)	
2007ai	MCG -04-38-004	SA	cdots	13.75(06)	12.84(02)	12.86(03)	12.05(09)	11.31(19)	10.72(11)	
2007al	2MASX J09591870-1928233	cdots	17.95(09)	16.11(12)	15.03(05)	14.58(04)	13.59(11)	13.16(13)	12.62(07)	
2007as	ESO 18-G18	SA	16.17(13)	13.61(13)	13.18(04)	12.86(12)	12.10(08)	11.62(09)	11.08(08)	
2007ax	NGC 2577	S0	15.32(11)	12.79(04)	11.96(04)	11.53(04)	10.62(16)	10.01(11)	9.39(15)	
