Full_Galaxy_Name
UGC 12158
NGC 6928
UGC 11816
MCG +03-22-020
FGC 175A
NGC 958
2MASS J14564320+0919366
NGC 5304
NGC 2811
2MASS J14593308+1640068
MCG +03-31-93
NGC 4059
NGC 4708
NGC 1819
MCG -01-09-006
MCG +00-06-003
APMUKS(BJ) B012415.21-012950.3
MCG -03-01-008
SDSS J011643.87+004736.9
NGC 7311
NGC 1371
NGC 3332
2MASX J22594265-0000478
ESO 545-G038
NGC 2930
UGC 4414
UGC 3634
NGC 691
NGC 3663
UGC 6609
NGC 7329
NGC 5185
MCG -01-33-34
NGC 809
NGC 191A
2MASX J21283758+0113490
NGC 232
UGC 11758
SDSS J014710.33-000848.7 19.85(23) 18.88(07) 18.28(08) 17.84(08)
UGC 2650
2MASX J00561810-0137327
MCG -04-12-34
2MASX J01135716+0022171
APMUKS(BJ) B051529.79-235009.8
UGC 2829
2MASX J09151727-2536001
NGC 1316
UGC 1333
UGC 2384
SDSS J224142.04-000812.9
NGC 4321
NGC 5584
MCG -04-38-004
2MASX J09591870-1928233
ESO 18-G18
NGC 2577
UGC 9798
UGC 6332
UGC 4455
NGC 3672
MCG -02-34-61
ESO 508-G75
NGC 7461
SDSS J020627.93-005353.0
SDSS J025953.65+010936.1
SDSS J032950.83+000316.0
CGCG 391-014
NGC 7721
MCG -01-33-012
UGC 595
2MASX J01372378-0018422
NGC 1404
UGC 5378
NGC 692
2MASX J10091969+1459268
IC 3284
KK 1524
NGC 2618
ESO 308-G25
NGC 3404
2MASX J12385810+1107502
UGC 3611
ESO 107-G4
NGC 5038
LEDA 766647
NGC 6805
ESO 428-G14
SDSS J011149.19+143826.5
ESO 480-IG-021
NGC 3261
NGC 539
UGC 881
2MASX J22104396-2047256
MCG +00-9-74
MCG -02-01-014
ESO 561-G18
NGC 2765
ESO 125-6
ESO 256-G11
NGC 1200
ESO 570-G20 Sc 19.91(14) 15.02(07) 14.42(00) 13.67(03) 13.15(09) 12.47(16) 12.04(17)
UGC 2998
UGC 3236
ESO 492-2
NGC 3388
NGC 2789
ESO 549-G031
NGC 3905
NGC 1725
NGC 1080
ESO 478-6
PGC 34730
NGC 5728
